IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
18.134.13.41	80	80	FALSE	ORD	North America	Chicago	177	0
18.169.191.155	2052	80	FALSE	ORD	North America	Chicago	174	0
34.210.73.42	8880	80	FALSE	ORD	North America	Chicago	200	0
3.8.95.118	2095	80	FALSE	ORD	North America	Chicago	155	0
35.94.65.191	2082	80	FALSE	ORD	North America	Chicago	206	0
35.94.65.191	8443	80	FALSE	ORD	North America	Chicago	203	0
13.215.80.221	2096	80	FALSE	SIN	Asia Pacific	Singapore	1	0
13.215.80.221	2052	80	FALSE	SIN	Asia Pacific	Singapore	1	0
13.215.80.221	2082	80	FALSE	SIN	Asia Pacific	Singapore	1	0
13.215.80.221	2086	80	FALSE	SIN	Asia Pacific	Singapore	1	0
13.215.191.184	80	80	FALSE	SIN	Asia Pacific	Singapore	1	0
13.229.107.89	2082	80	FALSE	CGK	Asia Pacific	Jakarta	1	0
54.251.118.130	2096	80	FALSE	SIN	Asia Pacific	Singapore	2	0
13.215.80.221	2083	80	FALSE	SIN	Asia Pacific	Singapore	2	0
13.215.80.221	2095	80	FALSE	SIN	Asia Pacific	Singapore	2	0
54.251.118.130	2086	80	FALSE	SIN	Asia Pacific	Singapore	3	0
3.111.72.70	2082	80	FALSE	FRA	Europe	Frankfurt	54	0
3.111.137.178	80	8080	FALSE	SIN	Asia Pacific	Singapore	54	0
3.111.72.70	2087	80	FALSE	FRA	Europe	Frankfurt	61	0
3.111.72.70	2083	80	FALSE	FRA	Europe	Frankfurt	63	0
13.230.34.30	80	80	FALSE	NRT	Asia Pacific	Tokyo	68	0
13.114.59.37	2052	80	FALSE	NRT	Asia Pacific	Tokyo	68	0
13.209.166.73	80	8080	FALSE	ICN	Asia Pacific	Seoul	72	0
15.165.63.136	2052	80	FALSE	ICN	Asia Pacific	Seoul	72	0
15.165.63.136	2095	80	FALSE	ICN	Asia Pacific	Seoul	73	0
13.124.81.29	443	443	TRUE	ICN	Asia Pacific	Seoul	81	0
13.238.235.196	2082	80	FALSE	SYD	Oceania	Sydney	92	0
13.238.235.196	2087	80	FALSE	SYD	Oceania	Sydney	92	0
13.237.94.188	2096	80	FALSE	SYD	Oceania	Sydney	92	0
13.55.237.163	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.238.235.196	2053	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2087	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.223.44	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2086	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2082	80	FALSE	SYD	Oceania	Sydney	93	0
13.238.235.196	2095	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.237.163	2096	80	FALSE	SYD	Oceania	Sydney	93	0
13.238.235.196	2086	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.237.163	2053	80	FALSE	SYD	Oceania	Sydney	93	0
13.238.235.196	2096	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.59.224	2082	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.238.1	2096	80	FALSE	SYD	Oceania	Sydney	93	0
13.238.235.196	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.81.122	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2082	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.59.224	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.238.235.196	2083	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.59.224	2083	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2053	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.238.1	2087	80	FALSE	SYD	Oceania	Sydney	93	0
13.236.104.165	2086	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.237.163	2083	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2096	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.237.163	2082	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.237.163	2087	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.238.1	2083	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.238.1	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.236.104.165	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2086	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.59.224	2053	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2083	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.238.1	2053	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.59.224	2095	80	FALSE	SYD	Oceania	Sydney	93	0
13.55.59.224	2096	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2095	80	FALSE	SYD	Oceania	Sydney	94	0
13.237.94.188	2083	80	FALSE	SYD	Oceania	Sydney	94	0
13.54.173.154	2052	80	FALSE	SYD	Oceania	Sydney	94	0
13.237.94.188	2053	80	FALSE	SYD	Oceania	Sydney	94	0
13.236.104.165	2096	80	FALSE	SYD	Oceania	Sydney	94	0
13.237.94.188	2087	80	FALSE	SYD	Oceania	Sydney	94	0
13.55.59.224	2087	80	FALSE	SYD	Oceania	Sydney	94	0
13.54.173.154	2095	80	FALSE	SYD	Oceania	Sydney	94	0
13.236.104.165	2095	80	FALSE	SYD	Oceania	Sydney	95	0
54.252.91.41	2095	80	FALSE	SYD	Oceania	Sydney	95	0
13.55.238.1	2095	80	FALSE	SYD	Oceania	Sydney	95	0
13.236.104.165	2087	80	FALSE	SYD	Oceania	Sydney	95	0
54.252.91.41	2083	80	FALSE	SYD	Oceania	Sydney	96	0
13.236.104.165	2082	80	FALSE	SYD	Oceania	Sydney	98	0
96.0.144.234	80	80	FALSE	SIN	Asia Pacific	Singapore	108	0
96.0.147.114	80	80	FALSE	SIN	Asia Pacific	Singapore	108	0
96.0.147.230	80	80	FALSE	SIN	Asia Pacific	Singapore	108	0
96.0.147.114	443	80	FALSE	SIN	Asia Pacific	Singapore	109	0
13.36.162.145	2087	80	FALSE	CDG	Europe	Paris	153	0
13.36.24.111	2082	80	FALSE	CDG	Europe	Paris	153	0
13.36.24.111	2095	80	FALSE	CDG	Europe	Paris	154	0
13.36.162.145	2095	80	FALSE	CDG	Europe	Paris	154	0
13.36.63.124	2082	80	FALSE	CDG	Europe	Paris	154	0
13.36.63.124	2053	80	FALSE	CDG	Europe	Paris	154	0
13.36.63.124	2095	80	FALSE	CDG	Europe	Paris	154	0
13.36.253.240	2052	80	FALSE	CDG	Europe	Paris	154	0
15.160.15.255	2086	80	FALSE	MXP	Europe	Milan	158	0
15.161.216.233	2096	80	FALSE	MXP	Europe	Milan	158	0
15.160.14.66	2086	80	FALSE	MXP	Europe	Milan	159	0
15.161.74.249	2083	80	FALSE	MXP	Europe	Milan	159	0
15.160.80.28	2082	80	FALSE	MXP	Europe	Milan	159	0
15.160.252.181	2082	80	FALSE	MXP	Europe	Milan	159	0
15.160.14.66	2087	80	FALSE	MXP	Europe	Milan	159	0
15.161.186.110	2087	80	FALSE	MXP	Europe	Milan	159	0
15.161.40.69	2095	80	FALSE	MXP	Europe	Milan	159	0
13.36.24.111	2052	80	FALSE	CDG	Europe	Paris	160	0
15.160.252.181	2052	80	FALSE	MXP	Europe	Milan	160	0
13.36.162.145	2053	80	FALSE	CDG	Europe	Paris	160	0
15.160.15.101	2096	80	FALSE	MXP	Europe	Milan	160	0
13.36.63.124	2083	80	FALSE	CDG	Europe	Paris	160	0
13.36.162.145	2052	80	FALSE	CDG	Europe	Paris	161	0
13.36.63.124	2087	80	FALSE	CDG	Europe	Paris	161	0
15.160.14.66	2082	80	FALSE	MXP	Europe	Milan	161	0
15.160.15.255	2083	80	FALSE	MXP	Europe	Milan	161	0
15.160.252.181	2096	80	FALSE	MXP	Europe	Milan	161	0
15.160.15.101	2053	80	FALSE	MXP	Europe	Milan	161	0
15.161.74.249	2086	80	FALSE	MXP	Europe	Milan	161	0
15.161.74.249	2052	80	FALSE	MXP	Europe	Milan	161	0
15.161.74.249	2082	80	FALSE	MXP	Europe	Milan	161	0
15.160.252.181	2083	80	FALSE	MXP	Europe	Milan	161	0
13.36.63.124	2052	80	FALSE	CDG	Europe	Paris	161	0
15.161.74.249	2096	80	FALSE	MXP	Europe	Milan	161	0
13.36.253.240	2087	80	FALSE	CDG	Europe	Paris	161	0
13.36.63.124	2096	80	FALSE	CDG	Europe	Paris	161	0
15.161.215.18	2087	80	FALSE	MXP	Europe	Milan	161	0
15.160.15.255	2053	80	FALSE	MXP	Europe	Milan	161	0
15.161.215.18	2096	80	FALSE	MXP	Europe	Milan	161	0
13.36.63.124	2086	80	FALSE	CDG	Europe	Paris	162	0
15.160.252.181	2086	80	FALSE	MXP	Europe	Milan	162	0
13.36.162.145	2082	80	FALSE	CDG	Europe	Paris	162	0
13.37.165.175	2053	80	FALSE	CDG	Europe	Paris	162	0
13.36.24.111	2096	80	FALSE	CDG	Europe	Paris	163	0
13.36.24.111	2083	80	FALSE	CDG	Europe	Paris	164	0
13.36.162.145	2096	80	FALSE	CDG	Europe	Paris	164	0
13.36.253.240	2083	80	FALSE	CDG	Europe	Paris	164	0
13.36.253.240	2096	80	FALSE	CDG	Europe	Paris	164	0
13.36.24.111	2086	80	FALSE	CDG	Europe	Paris	164	0
13.36.162.145	2086	80	FALSE	CDG	Europe	Paris	164	0
18.202.149.25	2082	80	FALSE	DUB	Europe	Dublin	164	0
13.36.253.240	2086	80	FALSE	CDG	Europe	Paris	164	0
13.36.253.240	2082	80	FALSE	CDG	Europe	Paris	165	0
13.37.2.81	2096	443	TRUE	CDG	Europe	Paris	165	0
13.41.3.20	80	80	FALSE	LHR	Europe	London	165	0
15.160.250.170	2082	80	FALSE	MXP	Europe	Milan	165	0
15.160.19.149	2082	80	FALSE	MXP	Europe	Milan	165	0
15.161.74.249	2095	80	FALSE	MXP	Europe	Milan	167	0
15.160.15.101	2082	80	FALSE	MXP	Europe	Milan	169	0
15.160.250.170	2096	80	FALSE	MXP	Europe	Milan	169	0
15.161.216.233	2087	80	FALSE	MXP	Europe	Milan	169	0
15.160.15.255	2095	80	FALSE	MXP	Europe	Milan	169	0
15.161.186.110	2086	80	FALSE	MXP	Europe	Milan	169	0
18.202.149.25	2095	80	FALSE	DUB	Europe	Dublin	170	0
15.160.15.101	2086	80	FALSE	MXP	Europe	Milan	170	0
15.160.14.66	2083	80	FALSE	MXP	Europe	Milan	171	0
15.161.216.233	2052	80	FALSE	MXP	Europe	Milan	171	0
15.160.250.170	2053	80	FALSE	MXP	Europe	Milan	171	0
13.36.24.111	2087	80	FALSE	CDG	Europe	Paris	172	0
13.36.253.240	2053	80	FALSE	CDG	Europe	Paris	175	0
18.202.149.25	2053	80	FALSE	DUB	Europe	Dublin	176	0
13.57.51.213	80	443	TRUE	SJC	North America	San Jose	177	0
15.160.14.66	2052	80	FALSE	MXP	Europe	Milan	178	0
13.53.47.110	2053	80	FALSE	ARN	Europe	Stockholm	178	0
13.49.6.192	2096	80	FALSE	ARN	Europe	Stockholm	179	0
13.49.119.167	2086	80	FALSE	ARN	Europe	Stockholm	179	0
13.49.119.167	2082	80	FALSE	ARN	Europe	Stockholm	179	0
13.49.6.192	2095	80	FALSE	ARN	Europe	Stockholm	179	0
13.51.138.200	2086	80	FALSE	ARN	Europe	Stockholm	179	0
15.161.74.249	2053	80	FALSE	MXP	Europe	Milan	179	0
13.49.119.167	2053	80	FALSE	ARN	Europe	Stockholm	179	0
13.49.6.192	2082	80	FALSE	ARN	Europe	Stockholm	179	0
13.49.6.192	2087	80	FALSE	ARN	Europe	Stockholm	179	0
13.51.138.200	2053	80	FALSE	ARN	Europe	Stockholm	179	0
13.53.47.110	2052	80	FALSE	ARN	Europe	Stockholm	179	0
15.161.215.18	2083	80	FALSE	MXP	Europe	Milan	179	0
13.53.47.110	2095	80	FALSE	ARN	Europe	Stockholm	180	0
13.53.47.110	2083	80	FALSE	ARN	Europe	Stockholm	180	0
13.51.138.200	2082	80	FALSE	ARN	Europe	Stockholm	180	0
13.53.47.110	2096	80	FALSE	ARN	Europe	Stockholm	180	0
13.53.47.110	2082	80	FALSE	ARN	Europe	Stockholm	180	0
18.202.149.25	2096	80	FALSE	DUB	Europe	Dublin	180	0
18.202.149.25	2052	80	FALSE	DUB	Europe	Dublin	180	0
18.202.149.25	2087	80	FALSE	DUB	Europe	Dublin	182	0
13.56.251.164	80	443	TRUE	SJC	North America	San Jose	183	0
13.56.207.185	80	443	TRUE	SJC	North America	San Jose	183	0
13.56.14.114	80	443	TRUE	SJC	North America	San Jose	184	0
13.56.210.252	80	443	TRUE	SJC	North America	San Jose	184	0
13.49.119.167	2096	80	FALSE	ARN	Europe	Stockholm	185	0
13.49.119.167	2052	80	FALSE	ARN	Europe	Stockholm	185	0
13.53.47.110	2086	80	FALSE	ARN	Europe	Stockholm	186	0
13.51.138.200	2096	80	FALSE	ARN	Europe	Stockholm	186	0
13.49.119.167	2087	80	FALSE	ARN	Europe	Stockholm	186	0
13.53.47.110	2087	80	FALSE	ARN	Europe	Stockholm	188	0
13.51.138.200	2083	80	FALSE	ARN	Europe	Stockholm	189	0
13.51.138.200	2095	80	FALSE	ARN	Europe	Stockholm	189	0
13.49.6.192	2053	80	FALSE	ARN	Europe	Stockholm	190	0
13.56.59.26	80	443	TRUE	SJC	North America	San Jose	191	0
13.49.119.167	2083	80	FALSE	ARN	Europe	Stockholm	196	0
13.49.119.167	2095	80	FALSE	ARN	Europe	Stockholm	196	0
18.246.213.48	2086	80	FALSE	ORD	North America	Chicago	205	0
15.156.202.197	80	443	TRUE	YYZ	North America	Toronto	248	0
18.216.55.100	80	80	FALSE	ORD	North America	Chicago	249	0
15.223.1.84	8443	443	TRUE	YUL	North America	Montréal	249	0
15.157.66.62	80	443	TRUE	YYZ	North America	Toronto	255	0
15.156.205.69	80	443	TRUE	YYZ	North America	Toronto	256	0
15.157.60.113	80	443	TRUE	YYZ	North America	Toronto	258	0
15.156.205.118	80	443	TRUE	YYZ	North America	Toronto	259	0
15.156.104.59	80	8080	FALSE	YYZ	North America	Toronto	263	0
15.156.192.136	80	443	TRUE	YYZ	North America	Toronto	265	0
15.156.194.13	80	443	TRUE	YYZ	North America	Toronto	268	0
15.157.61.240	80	443	TRUE	YYZ	North America	Toronto	271	0
15.157.70.26	80	443	TRUE	YYZ	North America	Toronto	273	0
